,X,Participant,gender,lamount,ldealy,samount,sdelay,choices1,choice2,RT_first,pick_larger_position,block_order,RT_second,adjusting.order,condition,group,switch,mark1
772,4272,1003,1,30,7,27,0,1,0,5.42278409,NA,2,NA,1,dgs,1,1,0
771,4271,1003,1,30,7,30,0,0,1,2.92236495,NA,2,NA,1,dgs,1,1,0
760,4260,1003,1,30,15,3,0,1,0,3.38865304,NA,2,NA,1,dgs,1,0,0
759,4259,1003,1,30,15,6,0,1,0,3.872748137,NA,2,NA,1,dgs,1,0,0
758,4258,1003,1,30,15,9,0,1,0,4.200682163,NA,2,NA,1,dgs,1,0,0
757,4257,1003,1,30,15,12,0,1,0,5.27818203,NA,2,NA,1,dgs,1,0,0
756,4256,1003,1,30,15,15,0,1,0,7.27701807,NA,2,NA,1,dgs,1,0,0
755,4255,1003,1,30,15,18,0,1,0,5.215716124,NA,2,NA,1,dgs,1,0,0
754,4254,1003,1,30,15,21,0,1,0,5.809122086,NA,2,NA,1,dgs,1,0,0
753,4253,1003,1,30,15,24,0,1,0,4.684775829,NA,2,NA,1,dgs,1,0,0
752,4252,1003,1,30,15,27,0,1,0,5.62173295,NA,2,NA,1,dgs,1,1,0
751,4251,1003,1,30,15,30,0,0,1,21.50312185,NA,2,NA,1,dgs,1,1,0
770,4270,1003,1,30,29,3,0,1,0,3.016132116,NA,2,NA,1,dgs,1,0,0
769,4269,1003,1,30,29,6,0,1,0,2.984873056,NA,2,NA,1,dgs,1,0,0
768,4268,1003,1,30,29,9,0,1,0,3.500590086,NA,2,NA,1,dgs,1,0,0
767,4267,1003,1,30,29,12,0,1,0,3.656862974,NA,2,NA,1,dgs,1,0,0
766,4266,1003,1,30,29,15,0,1,0,3.078641891,NA,2,NA,1,dgs,1,0,0
765,4265,1003,1,30,29,18,0,1,0,3.438075066,NA,2,NA,1,dgs,1,1,0
764,4264,1003,1,30,29,21,0,0,1,10.92370892,NA,2,NA,1,dgs,1,1,0
763,4263,1003,1,30,29,24,0,0,1,6.172910929,NA,2,NA,1,dgs,1,0,0
762,4262,1003,1,30,29,27,0,0,1,6.251048088,NA,2,NA,1,dgs,1,0,0
761,4261,1003,1,30,29,30,0,0,1,5.092499018,NA,2,NA,1,dgs,1,0,0
790,4290,1003,1,30,56,3,0,1,0,3.000509024,NA,2,NA,1,dgs,1,0,0
789,4289,1003,1,30,56,6,0,1,0,2.656694889,NA,2,NA,1,dgs,1,0,0
788,4288,1003,1,30,56,9,0,1,0,5.469665051,NA,2,NA,1,dgs,1,0,0
787,4287,1003,1,30,56,12,0,1,0,2.562927961,NA,2,NA,1,dgs,1,0,0
786,4286,1003,1,30,56,15,0,1,0,5.407154799,NA,2,NA,1,dgs,1,1,0
785,4285,1003,1,30,56,18,0,0,1,3.266171932,NA,2,NA,1,dgs,1,1,0
784,4284,1003,1,30,56,21,0,0,1,2.500418901,NA,2,NA,1,dgs,1,0,0
783,4283,1003,1,30,56,24,0,0,1,3.609977961,NA,2,NA,1,dgs,1,0,0
782,4282,1003,1,30,56,27,0,0,1,2.797342777,NA,2,NA,1,dgs,1,0,0
781,4281,1003,1,30,56,30,0,0,1,2.609812975,NA,2,NA,1,dgs,1,0,0
800,4300,1003,1,30,101,3,0,1,0,2.250377178,NA,2,NA,1,dgs,1,1,0
799,4299,1003,1,30,101,6,0,0,1,2.109730959,NA,2,NA,1,dgs,1,1,0
798,4298,1003,1,30,101,9,0,1,0,3.828763962,NA,2,NA,1,dgs,1,1,0
797,4297,1003,1,30,101,12,0,0,1,2.828603029,NA,2,NA,1,dgs,1,1,0
