Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
4003	2	34	12	30	0	56	1	4	2	1	1
4003	2	35	15	30	0	56	1	4	2	1	1
4003	2	36	18	30	0	56	1	4	2	1	1
4003	2	37	21	30	0	56	0	4	2	1	1
4003	2	38	24	30	0	56	0	4	2	1	1
4003	2	39	27	30	0	56	0	4	2	1	1
4003	2	40	30	30	0	56	0	4	2	1	1
4003	2	41	3	30	0	101	1	5	2	1	1
4003	2	42	6	30	0	101	0	5	2	1	1
4003	2	43	9	30	0	101	0	5	2	1	1
4003	2	44	12	30	0	101	0	5	2	1	1
4003	2	45	15	30	0	101	0	5	2	1	1
4003	2	46	18	30	0	101	0	5	2	1	1
4003	2	47	21	30	0	101	0	5	2	1	1
4003	2	48	24	30	0	101	0	5	2	1	1
4003	2	49	27	30	0	101	0	5	2	1	1
4003	2	50	30	30	0	101	0	5	2	1	1
4004	3	1	30	30	0	29	0	1	3	1	1
4004	3	2	27	30	0	29	0	1	3	1	1
4004	3	3	24	30	0	29	1	1	3	1	1
4004	3	4	21	30	0	29	0	1	3	1	1
4004	3	5	18	30	0	29	1	1	3	1	1
4004	3	6	15	30	0	29	1	1	3	1	1
4004	3	7	12	30	0	29	0	1	3	1	1
4004	3	8	9	30	0	29	0	1	3	1	1
4004	3	9	6	30	0	29	1	1	3	1	1
4004	3	10	3	30	0	29	1	1	3	1	1
4004	3	11	30	30	0	56	0	2	3	1	1
4004	3	12	27	30	0	56	0	2	3	1	1
4004	3	13	24	30	0	56	0	2	3	1	1
4004	3	14	21	30	0	56	0	2	3	1	1
4004	3	15	18	30	0	56	0	2	3	1	1
4004	3	16	15	30	0	56	1	2	3	1	1
4004	3	17	12	30	0	56	1	2	3	1	1
4004	3	18	9	30	0	56	1	2	3	1	1
4004	3	19	6	30	0	56	1	2	3	1	1
4004	3	20	3	30	0	56	1	2	3	1	1
4004	3	21	30	30	0	15	0	3	3	1	1
4004	3	22	27	30	0	15	0	3	3	1	1
4004	3	23	24	30	0	15	0	3	3	1	1
4004	3	24	21	30	0	15	0	3	3	1	1
4004	3	25	18	30	0	15	0	3	3	1	1
4004	3	26	15	30	0	15	0	3	3	1	1
4004	3	27	12	30	0	15	0	3	3	1	1
4004	3	28	9	30	0	15	0	3	3	1	1
4004	3	29	6	30	0	15	0	3	3	1	1
4004	3	30	3	30	0	15	0	3	3	1	1
4004	3	31	30	30	0	101	0	4	3	1	1
4004	3	32	27	30	0	101	0	4	3	1	1
4004	3	33	24	30	0	101	0	4	3	1	1
4004	3	34	21	30	0	101	0	4	3	1	1
4004	3	35	18	30	0	101	0	4	3	1	1
4004	3	36	15	30	0	101	0	4	3	1	1
4004	3	37	12	30	0	101	0	4	3	1	1
4004	3	38	9	30	0	101	0	4	3	1	1
4004	3	39	6	30	0	101	1	4	3	1	1
4004	3	40	3	30	0	101	1	4	3	1	1
4004	3	41	30	30	0	7	0	5	3	1	1
4004	3	42	27	30	0	7	1	5	3	1	1
4004	3	43	24	30	0	7	1	5	3	1	1
4004	3	44	21	30	0	7	1	5	3	1	1
4004	3	45	18	30	0	7	1	5	3	1	1
4004	3	46	15	30	0	7	1	5	3	1	1
4004	3	47	12	30	0	7	1	5	3	1	1
4004	3	48	9	30	0	7	1	5	3	1	1
4004	3	49	6	30	0	7	1	5	3	1	1
4004	3	50	3	30	0	7	1	5	3	1	1
4007	4	1	30	30	0	56	1	1	4	1	1
4007	4	2	27	30	0	56	0	1	4	1	1
4007	4	3	24	30	0	56	0	1	4	1	1
4007	4	4	21	30	0	56	1	1	4	1	1
