Participant	block_order	group	trial	A	B	DA	DB	R	index	ID	PA	PB
1006	4	1	15	15	30	0	101	0	2	4	1	1
1006	4	1	16	18	30	0	101	1	2	4	1	1
1006	4	1	17	21	30	0	101	0	2	4	1	1
1006	4	1	18	24	30	0	101	0	2	4	1	1
1006	4	1	19	27	30	0	101	0	2	4	1	1
1006	4	1	20	30	30	0	101	0	2	4	1	1
1006	4	1	21	3	30	0	29	1	3	4	1	1
1006	4	1	22	6	30	0	29	1	3	4	1	1
1006	4	1	23	9	30	0	29	1	3	4	1	1
1006	4	1	24	12	30	0	29	1	3	4	1	1
1006	4	1	25	15	30	0	29	1	3	4	1	1
1006	4	1	26	18	30	0	29	0	3	4	1	1
1006	4	1	27	21	30	0	29	0	3	4	1	1
1006	4	1	28	24	30	0	29	0	3	4	1	1
1006	4	1	29	27	30	0	29	0	3	4	1	1
1006	4	1	30	30	30	0	29	0	3	4	1	1
1006	4	1	31	3	30	0	7	1	4	4	1	1
1006	4	1	32	6	30	0	7	1	4	4	1	1
1006	4	1	33	9	30	0	7	1	4	4	1	1
1006	4	1	34	12	30	0	7	1	4	4	1	1
1006	4	1	35	15	30	0	7	1	4	4	1	1
1006	4	1	36	18	30	0	7	1	4	4	1	1
1006	4	1	37	21	30	0	7	1	4	4	1	1
1006	4	1	38	24	30	0	7	1	4	4	1	1
1006	4	1	39	27	30	0	7	1	4	4	1	1
1006	4	1	40	30	30	0	7	0	4	4	1	1
1006	4	1	41	3	30	0	15	1	5	4	1	1
1006	4	1	42	6	30	0	15	1	5	4	1	1
1006	4	1	43	9	30	0	15	1	5	4	1	1
1006	4	1	44	12	30	0	15	1	5	4	1	1
1006	4	1	45	15	30	0	15	1	5	4	1	1
1006	4	1	46	18	30	0	15	1	5	4	1	1
1006	4	1	47	21	30	0	15	1	5	4	1	1
1006	4	1	48	24	30	0	15	1	5	4	1	1
1006	4	1	49	27	30	0	15	1	5	4	1	1
1006	4	1	50	30	30	0	15	0	5	4	1	1
