Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
3070	10	24	-21	-30	0	56	0	3	26	1	1
3070	10	25	-18	-30	0	56	0	3	26	1	1
3070	10	26	-15	-30	0	56	0	3	26	1	1
3070	10	27	-12	-30	0	56	0	3	26	1	1
3070	10	28	-9	-30	0	56	0	3	26	1	1
3070	10	29	-6	-30	0	56	0	3	26	1	1
3070	10	30	-3	-30	0	56	0	3	26	1	1
3070	10	31	-30	-30	0	7	0	4	26	1	1
3070	10	32	-27	-30	0	7	1	4	26	1	1
3070	10	33	-24	-30	0	7	0	4	26	1	1
3070	10	34	-21	-30	0	7	0	4	26	1	1
3070	10	35	-18	-30	0	7	1	4	26	1	1
3070	10	36	-15	-30	0	7	1	4	26	1	1
3070	10	37	-12	-30	0	7	0	4	26	1	1
3070	10	38	-9	-30	0	7	0	4	26	1	1
3070	10	39	-6	-30	0	7	0	4	26	1	1
3070	10	40	-3	-30	0	7	0	4	26	1	1
3070	10	41	-30	-30	0	101	0	5	26	1	1
3070	10	42	-27	-30	0	101	1	5	26	1	1
3070	10	43	-24	-30	0	101	0	5	26	1	1
3070	10	44	-21	-30	0	101	0	5	26	1	1
3070	10	45	-18	-30	0	101	1	5	26	1	1
3070	10	46	-15	-30	0	101	0	5	26	1	1
3070	10	47	-12	-30	0	101	0	5	26	1	1
3070	10	48	-9	-30	0	101	1	5	26	1	1
3070	10	49	-6	-30	0	101	0	5	26	1	1
3070	10	50	-3	-30	0	101	0	5	26	1	1
3071	1	1	-3	-30	0	7	0	1	27	1	1
3071	1	2	-6	-30	0	7	0	1	27	1	1
3071	1	3	-9	-30	0	7	0	1	27	1	1
3071	1	4	-12	-30	0	7	0	1	27	1	1
3071	1	5	-15	-30	0	7	0	1	27	1	1
3071	1	6	-18	-30	0	7	0	1	27	1	1
3071	1	7	-21	-30	0	7	1	1	27	1	1
3071	1	8	-24	-30	0	7	1	1	27	1	1
3071	1	9	-27	-30	0	7	1	1	27	1	1
3071	1	10	-30	-30	0	7	1	1	27	1	1
3071	1	11	-3	-30	0	15	0	2	27	1	1
3071	1	12	-6	-30	0	15	0	2	27	1	1
3071	1	13	-9	-30	0	15	0	2	27	1	1
3071	1	14	-12	-30	0	15	0	2	27	1	1
3071	1	15	-15	-30	0	15	0	2	27	1	1
3071	1	16	-18	-30	0	15	0	2	27	1	1
3071	1	17	-21	-30	0	15	0	2	27	1	1
3071	1	18	-24	-30	0	15	0	2	27	1	1
3071	1	19	-27	-30	0	15	1	2	27	1	1
3071	1	20	-30	-30	0	15	1	2	27	1	1
3071	1	21	-3	-30	0	101	0	3	27	1	1
3071	1	22	-6	-30	0	101	0	3	27	1	1
3071	1	23	-9	-30	0	101	0	3	27	1	1
3071	1	24	-12	-30	0	101	1	3	27	1	1
3071	1	25	-15	-30	0	101	0	3	27	1	1
3071	1	26	-18	-30	0	101	0	3	27	1	1
3071	1	27	-21	-30	0	101	0	3	27	1	1
3071	1	28	-24	-30	0	101	1	3	27	1	1
3071	1	29	-27	-30	0	101	1	3	27	1	1
3071	1	30	-30	-30	0	101	1	3	27	1	1
3071	1	31	-3	-30	0	29	0	4	27	1	1
3071	1	32	-6	-30	0	29	0	4	27	1	1
3071	1	33	-9	-30	0	29	0	4	27	1	1
3071	1	34	-12	-30	0	29	0	4	27	1	1
3071	1	35	-15	-30	0	29	0	4	27	1	1
3071	1	36	-18	-30	0	29	0	4	27	1	1
3071	1	37	-21	-30	0	29	0	4	27	1	1
3071	1	38	-24	-30	0	29	0	4	27	1	1
3071	1	39	-27	-30	0	29	1	4	27	1	1
3071	1	40	-30	-30	0	29	1	4	27	1	1
3071	1	41	-3	-30	0	56	0	5	27	1	1
3071	1	42	-6	-30	0	56	0	5	27	1	1
3071	1	43	-9	-30	0	56	0	5	27	1	1
3071	1	44	-12	-30	0	56	0	5	27	1	1
3071	1	45	-15	-30	0	56	0	5	27	1	1
3071	1	46	-18	-30	0	56	0	5	27	1	1
3071	1	47	-21	-30	0	56	1	5	27	1	1
3071	1	48	-24	-30	0	56	1	5	27	1	1
3071	1	49	-27	-30	0	56	1	5	27	1	1
3071	1	50	-30	-30	0	56	1	5	27	1	1
3072	2	1	-30	-30	0	15	1	1	28	1	1
3072	2	2	-27	-30	0	15	1	1	28	1	1
3072	2	3	-24	-30	0	15	0	1	28	1	1
3072	2	4	-21	-30	0	15	0	1	28	1	1
3072	2	5	-18	-30	0	15	0	1	28	1	1
3072	2	6	-15	-30	0	15	0	1	28	1	1
3072	2	7	-12	-30	0	15	0	1	28	1	1
3072	2	8	-9	-30	0	15	0	1	28	1	1
3072	2	9	-6	-30	0	15	0	1	28	1	1
3072	2	10	-3	-30	0	15	0	1	28	1	1
3072	2	11	-30	-30	0	29	1	2	28	1	1
3072	2	12	-27	-30	0	29	1	2	28	1	1
3072	2	13	-24	-30	0	29	1	2	28	1	1
3072	2	14	-21	-30	0	29	1	2	28	1	1
3072	2	15	-18	-30	0	29	1	2	28	1	1
3072	2	16	-15	-30	0	29	0	2	28	1	1
3072	2	17	-12	-30	0	29	1	2	28	1	1
3072	2	18	-9	-30	0	29	0	2	28	1	1
3072	2	19	-6	-30	0	29	0	2	28	1	1
3072	2	20	-3	-30	0	29	0	2	28	1	1
3072	2	21	-30	-30	0	7	1	3	28	1	1
3072	2	22	-27	-30	0	7	1	3	28	1	1
3072	2	23	-24	-30	0	7	1	3	28	1	1
3072	2	24	-21	-30	0	7	1	3	28	1	1
3072	2	25	-18	-30	0	7	1	3	28	1	1
3072	2	26	-15	-30	0	7	1	3	28	1	1
3072	2	27	-12	-30	0	7	0	3	28	1	1
3072	2	28	-9	-30	0	7	0	3	28	1	1
3072	2	29	-6	-30	0	7	0	3	28	1	1
3072	2	30	-3	-30	0	7	0	3	28	1	1
3072	2	31	-30	-30	0	56	1	4	28	1	1
3072	2	32	-27	-30	0	56	1	4	28	1	1
3072	2	33	-24	-30	0	56	1	4	28	1	1
3072	2	34	-21	-30	0	56	1	4	28	1	1
3072	2	35	-18	-30	0	56	1	4	28	1	1
3072	2	36	-15	-30	0	56	1	4	28	1	1
3072	2	37	-12	-30	0	56	1	4	28	1	1
3072	2	38	-9	-30	0	56	0	4	28	1	1
3072	2	39	-6	-30	0	56	0	4	28	1	1
3072	2	40	-3	-30	0	56	0	4	28	1	1
3072	2	41	-30	-30	0	101	1	5	28	1	1
3072	2	42	-27	-30	0	101	1	5	28	1	1
3072	2	43	-24	-30	0	101	1	5	28	1	1
3072	2	44	-21	-30	0	101	1	5	28	1	1
3072	2	45	-18	-30	0	101	1	5	28	1	1
3072	2	46	-15	-30	0	101	1	5	28	1	1
3072	2	47	-12	-30	0	101	1	5	28	1	1
3072	2	48	-9	-30	0	101	1	5	28	1	1
3072	2	49	-6	-30	0	101	0	5	28	1	1
3072	2	50	-3	-30	0	101	0	5	28	1	1
3073	3	1	-3	-30	0	29	0	1	29	1	1
3073	3	2	-6	-30	0	29	0	1	29	1	1
3073	3	3	-9	-30	0	29	0	1	29	1	1
3073	3	4	-12	-30	0	29	0	1	29	1	1
3073	3	5	-15	-30	0	29	0	1	29	1	1
3073	3	6	-18	-30	0	29	0	1	29	1	1
3073	3	7	-21	-30	0	29	0	1	29	1	1
3073	3	8	-24	-30	0	29	0	1	29	1	1
3073	3	9	-27	-30	0	29	0	1	29	1	1
3073	3	10	-30	-30	0	29	1	1	29	1	1
3073	3	11	-3	-30	0	56	1	2	29	1	1
3073	3	12	-6	-30	0	56	0	2	29	1	1
3073	3	13	-9	-30	0	56	1	2	29	1	1
3073	3	14	-12	-30	0	56	0	2	29	1	1
3073	3	15	-15	-30	0	56	0	2	29	1	1
3073	3	16	-18	-30	0	56	0	2	29	1	1
