,logk,logs,logk_est,logk_est_L,logk_est_U,logs_est,logs_est_L,logs_est_U
18,-3.3779489517619345,-0.01475363617435177,-3.4747867910536225,-3.6160614325409224,-3.3296033030201353,-0.00033608010722062734,-0.17191798163574246,0.1855619057800394
19,-2.7720191777703285,-0.22382597866435205,-2.866611055297478,-3.047543421774787,-2.6790563773961016,-0.18176585525805086,-0.38156285763368275,0.019208790391323494
20,-1.7355074404785356,0.37481209704499563,-1.7056514873047903,-1.9723845714483481,-1.422420580262806,0.30867430316153965,-0.12032981100071637,0.7666042621284876
21,-2.7906563741669084,0.1315484728723021,-2.841565012716829,-2.9892964185411866,-2.6995330334075422,0.1878436561235265,0.027160371514154968,0.3630643235239349
22,-4.2962598480646665,-0.600688101323034,-4.333753049165751,-4.64050135832936,-4.065722676961081,-0.37369331739270933,-0.6330074300195737,-0.09960123562775185
23,-4.0007126312109165,0.20274580198823822,-3.976881154557123,-4.106949241953173,-3.8492368752999777,0.18615152610576038,0.015696267722146575,0.35543902926733245
24,-3.748571018477458,0.12281140368069099,-3.8084072957526307,-3.9878417732649276,-3.6374657958811265,-0.15297738553612794,-0.35083745001824407,0.05943697291286456
25,-3.226922685676515,-0.13520607051402622,-3.2816007249702843,-3.436993915598995,-3.1226061710479827,-0.17171317320004675,-0.39032624313052816,0.032769565940695106
26,-4.725964493858654,0.9293644316372355,-4.561955770730239,-4.647101438653749,-4.481011018266487,1.1489103177321949,0.8696523135669966,1.456696767436629
27,-2.1672041311083645,1.0620649171957726,-2.143389879553114,-2.2351816381678495,-2.058516268384312,1.1024920966703606,0.8315229928566956,1.3781708863757312
28,-4.229321869582085,1.0017653370781088,-4.24272355117376,-4.324462149943582,-4.164079247376934,1.063495020471434,0.8526901991816814,1.2853466163828213
29,-3.3525154817312046,0.8646292553352929,-3.2645103534973012,-3.367091446062695,-3.1548935039472337,0.8169150039335945,0.5509735200083739,1.069395642950322
30,-2.3111421293401,0.4273362932589001,-2.3190222587313265,-2.4511191886209924,-2.1866732264747455,0.4895109120344647,0.26756526689174814,0.7329445512976955
31,-4.1172516245019075,-0.009050124274516458,-4.079151916686059,-4.260588955994259,-3.8813336583103917,-0.16341953245531132,-0.40898859979469415,0.059085573359421655
32,-2.053714604900922,-0.2772081873656261,-2.07119391232591,-2.341045179405916,-1.8126671148560032,-0.21178043408944075,-0.46152781903873386,0.032389647891197214
33,-2.5632056050286236,0.21320233782623343,-2.596828589381295,-2.787507626163576,-2.3616695943479677,0.21330156367100797,0.006925750373004385,0.46873561879936104
34,-2.9291357032977268,0.18143065503227518,-2.877756595028903,-3.0158996192698906,-2.727988913710448,0.19378410509643396,0.013720176399616348,0.37251641639128574
35,-4.778429324631984,-0.49909912953750335,-4.808682687004066,-5.351414804868519,-4.433998407970138,-0.525342075133841,-0.838462188464726,-0.2294342930064564
36,-4.111324644455342,-0.49401563472675936,-4.335826397597915,-4.636337002753411,-4.054359624557505,-0.37344459401179947,-0.6352569116001414,-0.09930289944954007
37,-2.433496546001228,0.9780989068327098,-2.4130196388179903,-2.5102168832269616,-2.315507336868418,0.9009015438123867,0.7018671987330145,1.1085398934363682
38,-4.216292183326937,-0.11267056787827556,-4.332493018982897,-4.624476735144614,-4.054033620606537,-0.37780413797416246,-0.6424194089729808,-0.11017926027942539
39,-3.007322383881806,0.552903974687342,-3.0271146909164646,-3.141641167275551,-2.9202914527265613,0.5432234440989596,0.3440512839994882,0.7387067058708089
40,-4.667813606074189,0.37422259077351583,-4.745588115727728,-4.934361102144662,-4.5785262826402295,0.529135667058472,0.23099630250309505,0.8361356993563649
41,-4.371803447158046,-0.4216897473692803,-4.335268023798632,-4.63982677611221,-4.054110637934355,-0.376069388788054,-0.6439268932346639,-0.11063657643978711
