Participant	block_order	trial	A	B	DA	DB	R	index	ID	PA	PB
4014	6	41	-3	-30	0	7	0	5	5	1	1
4014	6	42	-6	-30	0	7	0	5	5	1	1
4014	6	43	-9	-30	0	7	0	5	5	1	1
4014	6	44	-12	-30	0	7	0	5	5	1	1
4014	6	45	-15	-30	0	7	0	5	5	1	1
4014	6	46	-18	-30	0	7	0	5	5	1	1
4014	6	47	-21	-30	0	7	0	5	5	1	1
4014	6	48	-24	-30	0	7	0	5	5	1	1
4014	6	49	-27	-30	0	7	1	5	5	1	1
4014	6	50	-30	-30	0	7	1	5	5	1	1
4015	7	1	-3	-30	0	101	1	1	6	1	1
4015	7	2	-6	-30	0	101	0	1	6	1	1
4015	7	3	-9	-30	0	101	0	1	6	1	1
4015	7	4	-12	-30	0	101	0	1	6	1	1
4015	7	5	-15	-30	0	101	0	1	6	1	1
4015	7	6	-18	-30	0	101	0	1	6	1	1
4015	7	7	-21	-30	0	101	1	1	6	1	1
4015	7	8	-24	-30	0	101	1	1	6	1	1
4015	7	9	-27	-30	0	101	1	1	6	1	1
4015	7	10	-30	-30	0	101	1	1	6	1	1
4015	7	11	-3	-30	0	56	0	2	6	1	1
4015	7	12	-6	-30	0	56	0	2	6	1	1
4015	7	13	-9	-30	0	56	0	2	6	1	1
4015	7	14	-12	-30	0	56	0	2	6	1	1
4015	7	15	-15	-30	0	56	0	2	6	1	1
4015	7	16	-18	-30	0	56	1	2	6	1	1
4015	7	17	-21	-30	0	56	1	2	6	1	1
4015	7	18	-24	-30	0	56	1	2	6	1	1
4015	7	19	-27	-30	0	56	1	2	6	1	1
4015	7	20	-30	-30	0	56	1	2	6	1	1
4015	7	21	-3	-30	0	7	0	3	6	1	1
4015	7	22	-6	-30	0	7	0	3	6	1	1
4015	7	23	-9	-30	0	7	0	3	6	1	1
4015	7	24	-12	-30	0	7	0	3	6	1	1
4015	7	25	-15	-30	0	7	0	3	6	1	1
4015	7	26	-18	-30	0	7	0	3	6	1	1
4015	7	27	-21	-30	0	7	0	3	6	1	1
4015	7	28	-24	-30	0	7	0	3	6	1	1
4015	7	29	-27	-30	0	7	0	3	6	1	1
4015	7	30	-30	-30	0	7	1	3	6	1	1
4015	7	31	-3	-30	0	29	0	4	6	1	1
4015	7	32	-6	-30	0	29	0	4	6	1	1
4015	7	33	-9	-30	0	29	0	4	6	1	1
4015	7	34	-12	-30	0	29	0	4	6	1	1
4015	7	35	-15	-30	0	29	0	4	6	1	1
4015	7	36	-18	-30	0	29	0	4	6	1	1
4015	7	37	-21	-30	0	29	1	4	6	1	1
4015	7	38	-24	-30	0	29	1	4	6	1	1
4015	7	39	-27	-30	0	29	1	4	6	1	1
4015	7	40	-30	-30	0	29	1	4	6	1	1
4015	7	41	-3	-30	0	15	0	5	6	1	1
4015	7	42	-6	-30	0	15	0	5	6	1	1
4015	7	43	-9	-30	0	15	0	5	6	1	1
4015	7	44	-12	-30	0	15	0	5	6	1	1
4015	7	45	-15	-30	0	15	0	5	6	1	1
4015	7	46	-18	-30	0	15	0	5	6	1	1
4015	7	47	-21	-30	0	15	0	5	6	1	1
4015	7	48	-24	-30	0	15	0	5	6	1	1
4015	7	49	-27	-30	0	15	0	5	6	1	1
4015	7	50	-30	-30	0	15	1	5	6	1	1
4016	8	1	-30	-30	0	7	1	1	7	1	1
4016	8	2	-27	-30	0	7	1	1	7	1	1
4016	8	3	-24	-30	0	7	0	1	7	1	1
4016	8	4	-21	-30	0	7	0	1	7	1	1
4016	8	5	-18	-30	0	7	0	1	7	1	1
4016	8	6	-15	-30	0	7	0	1	7	1	1
4016	8	7	-12	-30	0	7	0	1	7	1	1
4016	8	8	-9	-30	0	7	0	1	7	1	1
4016	8	9	-6	-30	0	7	0	1	7	1	1
4016	8	10	-3	-30	0	7	0	1	7	1	1
4016	8	11	-30	-30	0	101	1	2	7	1	1
4016	8	12	-27	-30	0	101	0	2	7	1	1
4016	8	13	-24	-30	0	101	0	2	7	1	1
4016	8	14	-21	-30	0	101	0	2	7	1	1
4016	8	15	-18	-30	0	101	0	2	7	1	1
4016	8	16	-15	-30	0	101	0	2	7	1	1
4016	8	17	-12	-30	0	101	0	2	7	1	1
4016	8	18	-9	-30	0	101	0	2	7	1	1
4016	8	19	-6	-30	0	101	0	2	7	1	1
4016	8	20	-3	-30	0	101	0	2	7	1	1
4016	8	21	-30	-30	0	15	1	3	7	1	1
4016	8	22	-27	-30	0	15	0	3	7	1	1
4016	8	23	-24	-30	0	15	0	3	7	1	1
